Hanja,mean,sound,meanFiveElements,soundFiveElements
鱗,"비닐, 비늘(껍질을 보호하는 각질) 좋지않은 의미 문자 ",린,수,화
䡣,"멍에, 멍에-소나 말의 목에 얹는 나무막대 좋지않은 의미 문자 ",헌,화,토화
瘍,"헐, 헐다 , 종기, 부스럼 , 두창 좋지않은 의미 문자 ",양,수,토
羚,"영양, 영양(소과에 속하는 짐승), 새끼양 좋지않은 의미 문자 ",령,토,화토
虫,"벌레, 벌레, 벌레의 총칭, 동물의 총칭, 구더기, 충해 좋지않은 의미 문자 ",충,수,금토
魦,"문절망둑(물고기), 문절망둑 , 상어 좋지않은 의미 문자 ",사,수,금
蓑,"도롱이, 도롱이 좋지않은 의미 문자 ",사,목,금
獺,"수달, 족제비과에 속하는 짐승 좋지않은 의미 문자 ",달,토,화
軋,"삐걱거릴, 삐걱거리다, 형벌 이름(흉노의 형벌. 칼로 얼굴을 새기는 일. 또는 골절을 수레로 가는 일) 좋지않은 의미 문자 ",알,금,토화
䜌,"어지러울, 어지럽다 , 다스리다 좋지않은 의미 문자 ",연,금,토화
鼸,"도마뱀, 두더지, 사향뒤쥐 좋지않은 의미 문자 ",겸,목,목수
芰,"마름, 마름 좋지않은 의미 문자 ",기,목,목
䳠,"새매, 새매 좋지않은 의미 문자 ",수,화,금
弱,"약할, 약하, 쇠약하다, 날씬하다, 어리다, 젊다, 잃다, 패하다 좋지않은 의미 문자 ",약,금,토목
訛,"그릇될, 그릇되다 잘못되다, 잘못 사투리, 속이다, 거짓, 변하다, 깨다 좋지않은 의미 문자 ",와,금,토
錣,"바늘, 바늘 , 물미 , 산가지 좋지않은 의미 문자 ",철,금,금화
臍,"배꼽, 배꼽, 꼭지 좋지않은 의미 문자 ",제,수,금
尸,"주검, 주검 시체, 시동, 위패, 신주, 주장하다 좋지않은 의미 문자 ",시,수,금
怳,"어슴푸레할, 어슴푸레하다, 멍하다 , 놀라서 바라보다, 황홀하다 , 자실한 모양 좋지않은 의미 문자 ",황,화,토
誤,"그르칠, 그르치다 , 잘못하다 , 의혹하다 , 의혹 좋지않은 의미 문자 ",오,금,토
躇,"머뭇거릴, 머뭇거리다, 건너뛰다 좋지않은 의미 문자 ",저,토,금
嘒,"작은 소리, 작은 소리 , 매미 소리 좋지않은 의미 문자 ",혜,수,토
廈,"문간방, 큰 집, 곁방 행랑 (厦의 本字) 좋지않은 의미 문자 ",하,목,토
羘,"숫양, 숫양 , 양 좋지않은 의미 문자 ",장,토,금토
燻,"불기운, 연기가 끼다, 질식하다 좋지않은 의미 문자 ",훈,화,토화
詖,"치우칠, 치우치다 , 교활하다 , 판별해 논하다 , 비뚤어지다 , 기울다 , 아첨하다 좋지않은 의미 문자 ",피,금,수
徨,"헤맬, 노닐다, 어정거리다 좋지않은 의미 문자 ",황,화,토
槀,"마를,여윌, 마르다 , 여위다, 때리다, 학대하다 , 초솔하다 좋지않은 의미 문자 ",고,목,목
嫗,"할머니, 할머니 , 어머니 , 여자 , 안아서 따뜻하게 하다 좋지않은 의미 문자 ",구,토,목
販,"팔, 팔다 , 사다 , 장사하다 좋지않은 의미 문자 ",판,금,수화
麟,"기린, 기린, 큰 사슴의 수컷 , 빛나는 모양 좋지않은 의미 문자 ",인,토,토화
廖,"텅 빌, 텅 비다 , 공허하다 , 쓸쓸하다 , 하늘 , 사람 이름 좋지않은 의미 문자 ",료,목,화
魄,"넋, 넋, 몸 모양, 달, 달빛 좋지않은 의미 문자 ",백,화,수목
驘,"노새(암말과수나귀 사이에 난 튀기), 노새(암말과수나귀 사이에 난 튀기) 좋지않은 의미 문자 ",나,화,화
痼,"고질, 고질(痼疾: 오래도록 낫지 않는 병) 좋지않은 의미 문자 ",고,수,목
裔,"후손, 후손 , 자락, 가, 오랑캐 , 남다 좋지않은 의미 문자 ",예,목,토
瘰,"연주창(피부병), 연주창 , 가죽이 두꺼워지는 일 , 좋지않은 의미 문자 ",나,수,화
癡,"어리석을, 어리석다, 미치다 좋지않은 의미 문자 ",치,수,금
罅,"틈, 틈, 결함, 실수 좋지않은 의미 문자 ",하,토,토
烙,"지질, 불로 지지다, 단근질하다 좋지않은 의미 문자 ",낙,화,화목
匿,"숨길, 숨다, 숨기다, 숨은 죄 좋지않은 의미 문자 ",익,수,토목
悒,"근심할, 근심하다, 답답하다 , 위태하다 , 마음이 무거운 모양 좋지않은 의미 문자 ",읍,화,토수
膹,"고깃국, 고깃국 , 곰국 , 고깃점 , 굵게 썬 생고기 좋지않은 의미 문자 ",분,수,수화
刑,"형벌, 형벌, 형벌하다, 법 좋지않은 의미 문자 ",형,금,토
拿,"잡을,포획할, 잡다, 손에 넣다 좋지않은 의미 문자 ",나,목,화
飻,"탐할, 탐하다 좋지않은 의미 문자 ",철,수,금화
袈,"가사, 가사( 어깨에 걸치는 스님들의 옷) 좋지않은 의미 문자 ",가,목,목
