Hanja,mean,sound,meanFiveElements,soundFiveElements
筵,"대자리, 대로 엮은 자리, 자리, 주연, 연회",연,목,토화
鬆,"소나무,더벅머리, 소나무 , 더벅머리 , 성의 하나 , 느슨하다 , 헐겁다",송,화,금토
秪,"다만, 다만 , 때마침 ,시작하다 , 거듭 심다",지,목,금
爟,"봉화,횃불, 봉화,",관,화,목화
瑈,"옥 이름, 옥 이름",유,금,토
池,"연못, 못, 해자(성 밖을 둘러싼 못)",지,수,금성(姓)씨 사용
蓬,"쑥, 쑥, 흐트러지다, 떠돌아다니다, 봉래산의 준말",봉,목,수토
鑽,"끌, 끌, 빈형(발을 끊는 형벌), 뚫다, 모으다, 날(鋒刃), 송곳",찬,금,금화
蹣,"넘을, 넘다 , 뛰어넘다 , 비틀거리다, 비틀거리며 가는 모양",만,토,수화
夆,"끌, 끌다 , 이끌다 , 만나다 , 거스르다 , 크다 , 넉넉하다 , 봉우리",봉,토,수토
又,"또, 또 , 다시 , 또한, 더욱 , 오른손, 거듭하다, 용서하다",우,수,토성(姓)씨 사용
望,"바랄, 바라(보)다, 우러러보다, 원망(하다), 조망, 소망, 망제(산천 제사), 보름",망,수,수토
旒,"깃발, 깃발, 면류관, 끈",류,수,화
瑩,"밝을, 밝다 , 맑다 , 투명하다 , 명백하게 하다 , 갈고 다듬다 , 옥빛이",영,금,토
應,"응할, 응하다, 응당, 악기 이름(작은 북)",응,화,토성(姓)씨 사용
鮫,"상어, 상어",교,수,목
留,"머무를, 머무르다, 뒤지다, 오래다, 엿보다 불용문자 ",류,토,화
倭,"왜나라, 왜나라, 구불구불하다 , 삥 돌다",왜,화,토
東,"동녘,모 , 동녘, 동쪽 지방",방,목,수토성(姓)씨 사용
厚,"두터울, 두텁다, 두터이 하다, 두께",후,토,토
扱,"미칠, 미치다(어느 곳에 이르다), 다루다, 처리하다, 거두어 모으다",급,목,목수
砢,"돌 쌓일, 돌이 쌓이다 , 서로 돕다 , 맺히다",라,금,화
秦,"나라, 진나라, 벼 이름",진,목,금화성(姓)씨 사용
洞,"고을, 고을, 마을, 동네, 골, 밝다, 통달하다, 빨리흐르다",동,수,화토
浿,"물가, 강 이름",패,수,수
溪,"시내, 시내",계,수,목
轤,"도르래, 도르래 , 활차 , 물레 , 산륜 , 잇닿은 모양",로,화,화
錡,"밥솥, 가마솥",기,금,목
欂,"두공, 두공 , 중깃",박,목,수목
阮,"성씨, 의 이름 , 나라의 이름",완,토,토화성(姓)씨 사용
轍,"바퀴자국, 바퀴자국",철,화,금화
苩,"성씨, 성의 하나 , 꽃 , 화려하다",백,목,수목성(姓)씨 사용
席,"자리, 자리 , 앉을 자리 , 여럿이 모인 자리 , 돗자리 , 앉음새",석,목,금목
桴,"마룻대, 마룻대 , 북채 , 뜬",부,목,수
灆,"물 맑을, 물이 맑다",남,수,화수
扉,"문짝, 문짝, 집, 가옥",비,목,수
萬,"일만, 일 만 불용문자 ",만,목,수화성(姓)씨 사용
櫓,"방패, 방패, 지붕이 없는 망루",로,목,화
阮,"나라 이름,  ",원,토,토화성(姓)씨 사용
嚇,"웃음소리, 웃음소리, 감탄사, 웃다",하,수,토
亮,"밝을, 밝다, 믿다, 돕다, 미쁘다, 참으로,진실로",량,화,화토
珹,"옥, 옥이름 , 구슬 이름",성,금,금토
顜,"밝을, 밝다 , 바르다 , 곱다 , 화하다",강,화,목토
淝,"강 이름, 강의 이름 , 물의 이름",비,수,수
嚶,"새 지저귈, 새 지저귀다 , 울다 , 새소리 , 벗이 상대방을 격려하는 소리",앵,수,토
畎,"밭도랑, 밭도랑 , 산골짜기 , 관개하다",견,토,목화
珀,"호박, 호박",백,금,수목
娃,"예쁠,  ",와,토,토
捚,"손바닥에 받을, 손바닥에 받다",재,목,금
渤,"바다, 바다 이름, 안개가 자욱하다, 물 소리",발,수,수화
巨,"클, 크다 , 많다 , 거칠다, 항거하다 불용문자 ",거,화,목
岱,"대산, 대산 , 크다 , 큼직하다",대,토,화
燏,"빛날, 빛나다 , 불빛",율,화,토화
緋,"비단, 비단 , 붉은빛",비,목,수
俐,"똑똑할, 똑똑하다, 영리하다",리,화,화
麂,"큰 노루, 큰 노루 , 큰 순록",궤,토,목
芮,"나라, 풀이 뾰쪽하다, 물가, 방패끈, 나라 이름",예,목,토성(姓)씨 사용
来,"올, 오다",내,목,화
樀,"추녀(처마), 추녀 , 처마 , 실패",적,목,금목
芦,"지황, 지황(여러해살이풀)",호,목,토
鑕,"도끼, 도끼 , 모루",질,금,금화
勳,"공, 공적 불용문자 ",훈,화,토화
栯,"산앵두, 산앵두 , 나무 이름",욱,목,토목
澍,"단비, 단비, 젖다, 흘러들어가다",주,수,금
選,"가릴, 가리다, 뽑다 , 고르다 , 선거하다 , 선택하다 , 임용되다",선,토,금화
堋,"묻을, 묻다 , 진동하다, 보, 살받이터",붕,토,수토
齡,"나이, 해, 나이, 연치",령,금,화토
珤,"보배, 寶(보배 보)의 古字",보,금,수
貳,"두, 둘, 두 마음, 거듭하다, 의심하다, 어기다, 변하다, 대신하다, 짝 불용문자 ",이,금,토
鼻,"코, 코, 시초, 손잡이 귀",비,금,수
岨,"돌산, 돌이나 바위가 많은 산 , 어긋나다 , 울퉁불퉁하다 , 험하다",저,토,금
肴,"안주, 안주",효,수,토
後,"뒤, 뒤, 뒤지다, 뒤떨어지다, 뒤로 미루다",후,화,토
丹,"정성스러울, 정성스럽다, 모란, 꽃이름",란,화,화
途,"길,  ",도,토,화
鏨,"새길, 새기다 , 새기다 , 끌다",참,금,금수
絨,"가는 베, 융(감이 두툼한 모직물), 가는 베, 고운 베",융,목,토
登,"오를, 오르다, 올리다, 높이다, 높다, 이루다, 정하다, 익다, 바로",등,화,화토
唔,"글 읽는 소리, 글 읽는 소리 , 나 , 깨다",오,수,토
喞,"두런거릴, 두런거리다 , 물을 대다 , 붓",즉,수,금목
提,"끌, 끌다, 들다, 걸다, 거느리다, 던지다, 끊다, 점잖게 걷다",제,목,금
攷,"상고할,살필, 생각하다, 상고하다. (考의 古字)",고,토,목
彭,"땅이름,성씨, 성(姓), 땅 이름, 띵띵하다",팽,화,수토성(姓)씨 사용
賚,"줄,하사할, 주다, 하사하다, 하사한 물건",뢰,금,화
偘,"굳셀, 굳세다 , 강직하다, 화락하다",간,화,목화
蘟,"은총, 나물의 이름 , 은인",은,목,토화
愢,"책선할,착한일을 권장, 책선하다, 착한 일을 하도록 권장함",시,화,금
詢,"물을, 묻다 , 상의하다, 문의하다, 같다",순,금,금화
楕,"길고둥글, 둥글길쭉하다, 수레통 가운데 그릇, 길죽한 그릇",타,목,화
島,"섬, 섬",도,토,화
篩,"체(가루치는기구), 체 , 대 이름 , 치다",사,목,금
濶,"넓을, 넓다, 트이다, 멀다, 간략하다",활,수,토화
逵,"큰길, 한길",규,토,목
藉,"깔, 깔개 자리, 깔다, 빌다, 의뢰하다, 돕다, 이바지하다, 갈다",자,목,금
撼,"흔들, 흔들다 , 흔들리다 , 움직이다",감,목,목수
剴,"알맞을,낫(풀베는 기구), 알맞다 , 잘 어울리다 , 낫, 베다, 가깝다 , 간절하다",개,금,목
蓉,"연꽃, 연꽃 , 부용",용,목,토
攄,"펼, 펴다 ,",터,목,화
筐,"광주리, 광주리, 평상",광,목,목토
騈,"나란히 할, 나란하게 하다, 나란히 늘어서 있다, 땅이름",병,화,수토
頀,"풍류, 구하다, 구제하다, 지키다",호,금,토
椄,"접붙일, 접붙이다 , 형틀",접,목,금수
檠,"도지개, 도지개, 등잔걸이, 등불, 바로잡다",경,목,목토
鎣,"줄, 줄",형,금,토
燭,"촛불, 촛불, 등불, 초, 비치다, 비추다",촉,화,금목
飂,"바람 소리, 바람 소리 , 높이 부는 바람 , 서풍 , 비다",요,목,토
譁,"시끄러울, 시끄럽게 떠들다",화,금,토
渼,"물, 물놀이, 파문, 내 이름, 못 이름",미,수,수
番,"차례, 차례, 번(순서), 장(맷수), 짝",번,토,수화
馥,"향기, 향기, 향기롭다",복,목,수목
曜,"빛날, 빛, 일월성신",요,화,토
楗,"세울, 문빗장, 방죽",건,목,목화
硧,"숫돌, 숫돌 , 갈다 (동) , 대마디를 뚫다",용,금,토
遵,"좇을, 따라가다, 좇다, 행하다",준,토,금화
熅,"숯불, 숯불 , 불꽃이 없는 불 , 천지의 기운 , 따뜻하다 , 덥다 , 어스레하다",온,화,토화
敉,"어루만질, 어루만지다 , 편안하게 하다",미,금,수
腋,"겨드랑이, 겨드랑이",액,수,토목
缸,"항아리, 항아리",항,토,토
盤,"소반, 소반, 쟁반, 대야, 받침, 바탕",반,금,수화
妸,"아름다울, 아름답다",아,토,토
傃,"향할, 향하다 , 지키다 , 분수를 지키다",소,화,금
鱸,"농어, 농어과의 바닷물고기",로,수,화
煇,"빛날, 빛나다 , 빛 , 햇무리",훈,화,토화
繡,"수놓을, 수놓다 , 오색을 갖추다 , 수 , 비단 , 비단 조각",수,목,금
毸,"날개 칠, 날개를 치다",시,화,금
穠,"꽃나무 무성할, 꽃나무 무성하다 , 깊다",농,목,화토
鮮,"고울,어조사 , 우리나라 선우씨의 성원은 기자가 주나라 무왕 때 동래",우,수,토성(姓)씨 사용
執,"잡을, 잡다, 막다, 벗(동지), 두려워하다",집,토,금수
絖,"고운 솜, 고운 솜",광,목,목토
盥,"대야,깨끗할, 대야 , 강신제 , 깨끗하다 , 씻다 , 양치질하다",관,토,목화
頂,"정수리, 정수리, 이마, 꼭대기, (머리에) 이다",정,화,금토
餪,"풀보기 잔치, 풀보기 잔치 , 음식을 대접하다",난,수,화
磑,"언덕,단단할, 맷돌 , 사물의 모양, 견고한 모양 , 흰 모",애,금,토
芿,"새풀싹, 풀, 잡초",잉,목,토
指,"손가락, 손가락, 발가락, 가리키다, 곤두서다",지,목,금
僉,"다, 다, 모두, 여러, 도리깨",첨,화,금수
晉,"나아갈, 나아가다, 억누르다, 억제하다, 꽂다, 괘이름(坤下離上), 진나라",진,화,금화성(姓)씨 사용
緜,"햇솜, 햇솜 , 솜옷 , 명주 , 새 우는 소리 , 성",면,목,수화
建,"세울, 세우다 , 일으키다 , 아뢰다 , 개진하다",건,목,목화
豁,"뚫린골, 소통하다, 넓고 내뚫린 골짜기, 넓다, 크다, 깨닫다",활,수,토화
㞼,"정승,도울, 정승, 벼슬 이름, 돕는 사람, 돕다, 받들다, 이어받다, 잇다, 잠기다, 가라앉",승,토,금토
標,"표할, 가지, 표적, 표시, 표를 하다, 적다, 기록하다",표,목,수
莾,"우거질, 우거지다 , 거칠다 , 넓다 , 광활하다 , 크다 , 아득하다",망,목,수토
寧,"편안할, 편안하다, 편안히 하다",영,화,토
艫,"뱃머리, 배의 뒷부분 , 배 크기 이름 , 배의 꼬리 부분",로,목,화
禾,"벼, 벼, 곡식, 모 줄기",화,목,토
裘,"갖옷, 갖옷 , 갖옷을 입다",구,목,목
參,"참여할, 참여하다, 섞이다, 나란하다, 뵈다",참,화,금수
恆,"항상, 항상,",항,화,토
蘋,"네가래, 네가래 , 개구리밥",빈,목,수화
蓏,"열매, 열매",라,목,화
囍,"쌍희, 쌍희",희,수,토
嶋,"섬, 섬",도,토,화
漌,"맑을, 맑다 , 적시다 , 담그다",근,수,목화
芷,"어수리, 어수리",지,목,금
証,"간할, 간하다, 충고",정,금,금토
嫽,"예쁠, 예쁘다 , 아름답다 , 장난치다 ,",요,토,토
聞,"들을, 듣다, (냄새를) 맡다, 들리다, 알리다, 알려지다, 이름, 소문",문,화,수화
紳,"큰띠, 큰 띠, 벼슬아치",신,목,금화
潾,"맑을, 맑다, 물이 맑다, 돌샘, 땅이름",인,수,토화
欽,"공경할, 공경하다, 부러워하다",흠,금,토수
皺,"주름, 주름(이 잡히다), 밤송이",추,금,금
悏,"쾌할, 유쾌하다, 만족하다",협,화,토수
宛,"맺힐,  ",울,목,토화
惠,"은혜, 은혜, 사랑, 자애",혜,화,토
察,"살필, 살피다, 드러나다, 자세하다, 깨끗하다",찰,목,금화
鎠,"굳셀, 굳세다, 강직하다, 억세다, 단단하다",강,금,목토
韾,"화할, 화하다",음,금,토수
氣,"기운, 기운, 공기, 숨, 기질, 마음 의사, 기후, 절후, (냄새를) 맡다",기,수,목
麝,"사향나루, 사향노루",사,토,금
飧,"저녁밥, 저녁밥, 밥, 익힌 음식, 말다, , 먹다",손,수,금화
內,"안, 안, 몰래, 안으로 하다, 들이다",내,목,화
葉,"잎사귀, 잎, 대, 갈래, 후손, 장,",엽,목,토수성(姓)씨 사용
峽,"골, 골짜기, 시내",협,토,토수
廙,"공경할, 공경하다 , 천막 , 행랑",이,목,토
鐶,"고리, 쇠고리, 귀고리, 가락지, 목걸이",환,금,토화
㙯,"재주,심을, 재주, 기예 , 법도 , 학문 , 법 , 글, 과녁, 심다",예,토,토
蒜,"마늘, 마늘 , 마늘",산,목,금화
戊,"천간, 다섯째 천간 불용문자 ",무,토,수
鉞,"도끼, 도끼",월,금,토화
澄,"맑을, 맑다, 맑게 하다, 술 이름",징,수,금토
肪,"기름, 살지다, 비계, 기름기",방,수,수토
瑞,"상서, 상서롭다, 상서 길조, 홀",서,금,금
竜,"용, 용, 임금, 천자, 비범한 사람, 훌륭한 사람 불용문자 ",룡,금,화토
鑄,"쇠부어만들, 금속을 녹여 거푸집에 부어 기물을 만들다",주,금,금
承,"이을, 받들다, 잇다, 받다, 돕다, 장가들다, 후계, 도움, 차례",승,목,금토성(姓)씨 사용
娙,"여관, 여관(여자관리) , 여자 종",형,토,토
乼,"줄, 줄",줄,목,금화
猊,"사자, 사자, 부처가 앉는 사리",예,토,토
鵑,"뻐꾹새, 두견새, 소쩍새",견,화,목화
必,"반드시, 반드시, 오로지, 기필하다",필,화,수화
導,"인도할, 인도하다,통하다",도,목,화
濱,"물가, 물가, 가깝다, 임박하다, 절박하다, 다가오다",빈,수,수화
唎,"가는 소리, 가는 소리, 작은 소리",리,수,화
躳,"몸, 몸, 자기, 활 , 과녁의 아래위의 폭 , 몸소, 몸소",궁,화,목토
嬴,"찰, 차다, 가득 차다, 남다, 나타나다, 펴다, 끝, 풀다, 이기",영,토,토
緩,"느슨할, 느리다, 느슨하다, 느슨해지다, 부드럽다, 느즈러지다, 늦추다",완,목,토화
朴,"성, 나무껍질, 팽나무(느릅나무과), 순박하다",박,목,수목성(姓)씨 사용
柬,"분간할, 가리다, 분간하다",간,목,목화
硃,"주사, 주사 , 붉은 먹",주,금,금
瀕,"물가, 물가(=濱), 임박하다",빈,수,수화
捌,"깨뜨릴, 깨뜨리다 , 찢다 ,",팔,목,수화
架,"시렁, 시렁(긴 나무로 선반처럼 만든 것) , 횃대 , 건너지르다",가,목,목
娉,"장가들, 장가들다 , 묻다 , 안부를 묻다 , 예쁘다 , 예쁜 모양",빙,토,수토
捃,"주울, 줍다 , 주워 가지다 , 취하다",군,목,목화
錦,"비단, 비단, 비단옷 불용문자 ",금,금,목수
裏,"속, 속, 내부, 가운데, 안쪽, 뱃속, 가슴속, 속마음, 충심",이,목,토
吳,"오나라,성씨, 나라 이름, 오 나라, 땅 이름, 큰소리 하다",오,수,토성(姓)씨 사용
杼,"북, 벽, 얇다 , 펴다, 길다 , 상수리나무",저,목,금
嶔,"높고 험할, 높고 험하다 , 산세가 불끈 솟다 , 입 딱벌리다 , 산이 높고 가",금,토,목수
棠,"아가위(산사열매), 팥배나무, 산앵도나무",당,목,화토
鏊,"번철, 번철 , 산이름",오,금,토
梗,"정직할,막힐, 가시(나무), 근심, 막다, 막히다, 곧다, 굳세다, 인형, 대강 대개",경,목,목토
丁,"고무래, 고무래, 넷째 천간, 성하다, 세다, 장정, 당하다 불용문자 ",정,화,금토성(姓)씨 사용
存,"있을, 있다, 보존하다, 존문하다(위문), 살피다",존,수,금화
澕,"깊을, 깊다",화,수,토
芫,"팥꽃나무, 팥꽃나무",원,목,토화
楣,"문미, 문미(문 위에 가로로 댄 상인방), 처마, 차양",미,목,수
瘱,"고요할,편안할, 고요하다, 편안하다, 자세하다, 그윽하다",예,수,토
謇,"떠듬거릴, 떠듬거리다 , 곧다 , 어렵다 , 아! 탄식",건,금,목화
犂,"밭갈, 밭을 갈다, 검다, 얼룩얼룩하다, 때려 부수다, 뒤엎다",리,토,화
溟,"바다, 바다, 어둡다",명,수,수토
堤,"방죽, 방죽, 둑",제,토,금
形,"형상, 형상, 용모, 형체, 형세",형,금,토
賢,"어질, 어질다, 어진 이, 낫다",현,금,토화
栲,"붉나무,옻나무, 붉나무, 고리",고,목,목
鳧,"오리, 오리 , 물오리 , 들오리",부,화,수
柿,"감나무, 감나무 , 감 , 대패밥",시,목,금
楫,"노, 노(를 젓다)",집,목,금수
綦,"연둣빛 비단, 연둣빛 비단 , 무늬 비단 , 빛깔 이름 , 들메끈",기,목,목
臘,"섣달, 섣달, 납향(납일에 지내는 제사), 쌍날로 된 칼",랍,수,화수
代,"대신, 대신하다, 바꾸다, 벌갈아들다, 번갈아 , 대대로, 값",대,화,화
廂,"행랑, 행랑",상,목,금토
釣,"낚시, 낚시(하다), 낚시질",조,금,금
幫,"도울, 돕다, 보좌하다, 지원하다, 무리, 단체, 패거리, 신의",방,목,수토
籐,"등나무, 야자나뭇과 등속 식물을 통틀어 이르는 말 , 덩굴 , 지팡이",등,목,화토
瑰,"구슬 이름, 구슬 이름 , 둥글고 모양이 좋은 옥 , 크다 , 아름답다",괴,금,목
藍,"쪽(풀이름), 쪽(일년생 풀이름), 남빛, 누더기",람,목,화수
錀,"금, 금",륜,금,화
逈,"멀, 멀다. 빛나다",형,토,토
防,"막을, 둑, 제방, 막다, 당하다, 방(房)",방,토,수토
壚,"흑토, 기름진 흙 , 검은 석비레(푸석푸석한 돌이 많이 섞인 흙)",로,토,화
溯,"거슬러 올라갈, 거슬러 올라가다, 거스르다, 맞서다, 따라 내려가다",소,수,금
晟,"밝을, 밝다, 환하다, 빛나다, 성하다",성,화,금토
韆,"그네, 그네",천,금,금화
蠣,"굴조개, 굴과에 속하는 조개의 일종. 살은 굴이라 하여 식용",여,수,토
卵,"알, (새나 물고기의) 알",난,수,화
旭,"빛날, 아침 해, 해가 돋다, 해가 뜨다, 교만하다, 만족하다",욱,화,토목
複,"겹칠, 겹옷, 겹치다, 겹(포개진 것)",복,목,수목
粮,"양식, 양식,",량,목,화토
姲,"종용할, 종용하다",안,토,토화
祺,"상서, 복, 행복, 상서(祥), 편안하다",기,목,목
佇,"우두커니 설, 우두커니 서다, 기다리다",저,화,금
鑊,"가마솥, 가마솥 , 죄인을 삶아 죽이는 형구",확,금,토목
鎭,"진압할, 진압하다, 누르다, 진정하다, 진영, 오래, 언제나, 항상 불용문자 ",진,금,금화
鷲,"독수리, 수리",취,화,금
翊,"도울, 돕다, 삼가다",익,화,토목
篇,"책, 책(완결한 서책), 편(서책의 부류)",편,목,수화
馶,"굳셀, 굳세다",지,화,금
銑,"무쇠, 끌, 뿌리다, 꾸미다, 금, 무쇠",선,금,금화
佼,"예쁠, 예쁘다 , 교활하다, 어지럽다 , 업신여기다 , 사귀다",교,화,목
露,"이슬, 이슬, 적시다 젖다, 드러나다 나타나다 불용문자 ",로,수,화
礙,"거리낄, 거리끼다, 장애가 되다, 지장을 주다, 방해하다, 거치적거리다",애,금,토
尺,"자, 자, 길이 불용문자 ",척,목,금목
濠,"물이름, 해자, 강 이름, 오스트레일리아의 준말",호,수,토
曳,"끌,끌다, 끌다, 고달프다, 끌리다, 나부끼다 , 입다",예,화,토
黻,"수, 수(예복에 놓는 수), 폐슬",불,토,수화
靛,"청대(검푸른물감), 청대",전,목,금화
段,"층계, 조각, 갈림, 가지, 포목, 반필, 포, 치다, 나누다",단,금,화성(姓)씨 사용
抽,"뺄, 빼다, 당기다, 거들다, 싹트다",추,목,금
隷,"종, 종, 죄인,",례,수,화
綠,"푸를, 푸르다, 초록빛, 조개풀",록,목,화목
芘,"당아욱, 당아욱 , 나무의 이름 , 가리다 , 덮다 , 감싸다",비,목,수
爵,"벼슬, 벼슬, 참새, 잔",작,금,금목
苓,"도꼬마리, 도꼬마리(한해살이풀) , 향기풀 이름 , 원추리",령,목,화토
鑼,"징, 징(악기종류), 동발, 자바라",나,금,화
駨,"말이 달리는 모양, 말이 달리는 모양 , 철총이",순,화,금화
把,"잡을, 잡다, 쥐다, 자루, 손잡이, 움큼, 묶음",파,목,수
器,"그릇, 그릇, 그릇으로 여기다, 그릇으로 쓰다",기,수,목
駛,"달릴, 달리다 , 빠르다 , 신속하다",사,화,금
獲,"얻을, 얻다, 맞히다, (계집)종",획,토,토목
埠,"부두, 부두 , 선창",부,토,수
啗,"먹일, 먹이다, 먹다 , 머금다 , 지니다, 속이다 , 꾀다",담,수,화수
繙,"되풀이할, 되풀이하다 , 풀다 , 펴보다 , 휘날리다 , 어지럽다 , 어지럽히다",번,목,수화
喉,"목구멍, 목구멍, 목",후,수,토
霹,"벼락, 천둥, 벼락",벽,수,수목
囁,"소곤거릴, 소곤거리다 , 속삭이다 , 말을 머뭇거리다 , 말이 많다",섭,수,금수
襘,"띠매듭, 띠매듭 , 옷고름 매는 자리",괴,목,목
磽,"메마른 땅, 메마른 땅 , 딱딱하다, 나쁘다, 얇다 , 메마른 땅",교,금,목
濾,"거를, 거르다, 맑게 하다, 씻다",려,수,화
度,"헤아릴, 재다, 헤아리다, 묻다, 세다, 던지다",탁,목,화목
鼔,"북 칠, 북 치다, 타다, 연주하다, 떨다, 진동하다",고,금,목
騶,"마부, 말을 먹이는 사람, 마부, 거덜, 기수, (좋은) 화살, 달리다(趨)",추,화,금
熙,"빛날, 빛나다, 넓다, 화락하다, 아아(탄식)",희,화,토
贛,"줄, 주다, 성의 하나 , 강 이름 , 현 이름",공,금,목토
胸,"가슴, 가슴",흉,수,토
邵,"땅이름, 땅의 이름 , 고을 이름 , 성의 하나 , 아름답다",소,토,금성(姓)씨 사용
繅,"고치 켤, 고치를 켜다 , 고치에서 실을 뽑다 , 옥받침 , 문채",소,목,금
謌,"노래, 노래, 악기 , 노래하다",가,금,목
瓦,"기와, 기와, 질그릇, 실패, 방패의 등",와,토,토
現,"나타날, 나타나다, 나타내다, 실재, 지금",현,금,토화
莠,"가라지, 가라지 , 강아지풀 , 추하다 , 씀바귀",유,목,토
浦,"물가, 물가, 바닷가, 개펄",포,수,수
窿,"활꼴, 활꼴 , 활 모양",융,수,토
姹,"자랑할, 자랑하다, 과시하다, 아름답다, 소녀, 아가씨",차,토,금
垕,"두터울, 두텁다, 후하다, 진하다",후,토,토
蓺,"심을, 심다 , 다하다 , 끝나다 , 과녁 , 과녁을 맞히다",예,목,토
錀,"금, 금",윤,금,토화
嬌,"아름다울, 아름답다, 아리땁다, 계집애",교,토,목
諪,"조정할, 조정하다",정,금,금토
絩,"실의 수효, 실의 수효 , 올 , 명주가 길다 , 오색실",조,목,금
冓,"짤, 짜다 , 쌓다 , 방, 수의",구,토,목
璝,"구슬 이름, 구슬 이름 , 둥글고 모양이 좋은 옥 , 크다 , 아름답다 , 진귀하다",괴,금,목
幻,"환상, 변하다, 미혹하다, 요술, 허깨비",환,화,토화
逾,"넘을, 넘다, 지나다, 더욱",유,토,토
荏,"들깨, 들깨, 부드럽다",임,목,토수
就,"나아갈, 이루다, 나아가다, 마치다, 능히, 곧, 가령",취,토,금
菔,"무, 무 , 칼집",복,목,수목
黚,"얕은 금향빛, 얕은 금향빛 , 물의 이름 , 검다 , 검누른빛",겸,수,목수
潞,"강이름, 물이름, 땅이름",로,수,화
藺,"골풀, 골풀",인,목,토화
樋,"나무 이름, 나무의 이름",통,목,화토
曷,"어찌, 어찌, 언제, 누가, 전갈",갈,화,목화
浯,"강 이름, 강의 이름 , 산 이름",오,수,토
稗,"피, 피(禾本科에 속하는 일년초), 잘다",패,목,수
繐,"베, 베 , 삼베 , 베",세,목,금
漾,"출렁거릴, 출렁거리다 , 출렁대다 , 넘쳐흐르다 , 넘치다 , 길다 , 뜨다",양,수,토
躬,"몸, 몸, 몸소, 몸소 하다",궁,수,목토
硅,"규소, 규소",규,금,목
驪,"검은 말, 검다, 나란히 하다",려,화,화
涖,"다다를, 다다르다, 임하다, 보다, 물소리",이,수,토
決,"결단할, 터지다, 터뜨리다, 끊다, 결단하다, 판단하다, 결정하다, 이별하다(=訣), 결코, 깍지(활을 쏠 때 엄지손가락에 끼는 기구), 틈(=缺) 불용문자 ",결,수,목화
訐,"들추어낼, 들추어내다 , 비방하다 , 거리낌 없이 말하다",알,금,토화
繖,"우산, 우산 , 일산",산,목,금화
蓆,"자리, 자리, 크다",석,목,금목
綏,"편안할, 끈, 갓끈, 편안하다 편안히 하다, 물러가다, 기의 장식",수,목,금
腱,"힘줄, 힘줄의 밑둥, (큰) 힘줄",건,수,목화
瑠,"유리, 유리",류,금,화
嫋,"예쁠, 예쁘다 , 아리땁다 , 가냘픈 모양",요,토,토
荷,"멜, 연꽃, 메다, 짐, 더하다",하,목,토
兮,"어조사, 어조사",혜,금,토
策,"꾀, 대쪽, 책, 문서, 직첩(사령서), 꾀, 과제(과거문제), 채찍질하다, 지팡이, 짚다",책,목,금목
㯳,"도지개, 도지개, 활을 바로잡는 틀, 바로잡다, 등잔걸이, 등꽂이",경,목,목토
穂,"이삭, 이삭 , 벼 이삭 , 보리 이삭",수,목,금
府,"마을, 곳집, 마을, 도읍, 고을, 관청, 창자",부,토,수
媛,"미녀, 여자 , 미인, 궁녀 , 끌어당기는 모양 , 예쁘다, 끌다, 일찍이",원,토,토화
崘,"산이름, 산 이름, 산 모양, 산이 험한 모양",륜,토,화
靕,"바를, 바르다",진,목,금화
韵,"운, 운, 운치 , 정취 , 소리",운,금,토화
序,"차례, 차례 , 학교, 담, 실마리, 서문, 행랑방",서,목,금
膠,"아교, 갖풀 아교, 갖풀을 칠하다, 굳다, 붙다, 어그러지다",교,수,목
橉,"나무 이름, 나무 이름, 문지방",린,목,화
潁,"강 이름, 강이름",영,수,토
柞,"조롱나무,떡갈나무, 조록나무, 조록나뭇과의 상록 활엽 교목 , 떡갈나무",작,목,금목
毅,"굳셀, 굳세다, 성을 발끈 내다",의,금,토
嚚,"어리석을, 어리석다 , 말을 제대로 못하다 , 말에 진실성이 없다, 모질다 , 간사하다",은,수,토화
官,"벼슬, 벼슬 관직, 마을, 벼슬아치, 기능, 벼슬살이하다, 본받다",관,목,목화
苾,"향기로울, 향기(가 나다)",필,목,수화
覃,"깊을, 깊다 , 깊고 넓다 , 미치다",담,금,화수
嫦,"항아, 항아 (姮의 俗字)",항,토,토
杠,"외나무다리, 작은 다리, 들다",강,목,목토
添,"더할, 더하다, 보태다, 맛을 내다, 맛을 더하다",첨,수,금수
也,"어조사,잇기, 잇기 , 어조사, 발어사",야,목,토
酬,"갚을, 잔을 돌리다, 보내다, 갚다, 갚음",수,금,금
諝,"슬기, 슬기롭다, 총명한 사람, 지자, 헤아리다, 속이다",서,금,금
