question,answer
자원오행 목과 조합이 좋은 자원오행에 대해 설명해,자원오행 목과 조합이 좋은 자원오행은 수입니다. 물은 나무를 살리기에 수은 목를 상생합니다.
자원오행 목과 조합이 나쁜 자원오행에 대해 설명해,자원오행 목과 조합이 나쁜 자원오행은 금입니다. 쇠는 나무를 자르기에 쇠는 나무를 상극합니다.
자원오행 화와 조합이 좋은 자원오행에 대해 설명해,자원오행 화와 조합이 좋은 자원오행은 목입니다. 나무에서 불이 나기에 목은 화를 상생합니다.
자원오행 화와 조합이 나쁜 자원오행에 대해 설명해,자원오행 화와 조합이 나쁜 자원오행은 수입니다. 물은 불을 끄기에 물은 불을 상극합니다.
자원오행 금과 조합이 좋은 자원오행에 대해 설명해,자원오행 금과 조합이 좋은 자원오행은 토입니다. 흙에서 쇠가 나기에 토는 금을 상생합니다.
자원오행 금과 조합이 나쁜 자원오행에 대해 설명해,자원오행 금과 조합이 나쁜 자원오행은 화입니다. 물은 쇠를 녹이기에 불은 쇠를 상극합니다.
자원오행 토와 조합이 좋은 자원오행에 대해 설명해,자원오행 토와 조합이 좋은 자원오행은 화입니다. 불이 나면 재가 되어 흙이 되기에 화는 토를 상생합니다.
자원오행 토와 조합이 나쁜 자원오행에 대해 설명해,자원오행 토와 조합이 나쁜 자원오행은 목입니다. 나무가 흙에 뿌리를 내리기에 나무는 흙을 상극합니다.
자원오행 수와 조합이 좋은 자원오행에 대해 설명해,자원오행 수과 조합이 좋은 자원오행은 금입니다. 쇠에서 물이 맺히기에 금는 물을 상생합니다.
자원오행 수와 조합이 나쁜 자원오행에 대해 설명해,자원오행 수와 조합이 나쁜 자원오행은 토입니다. 흙은 물을 덮어버리기에 흙은 물을 상극합니다.
"오행을 목은 2개, 화는 1개, 수는 1개, 토는 1개, 금은 1개를 가지고 있어 어떤 오행을 보충해야 돼?","오행을 고루 가지고 있는 사주지만 자세히 보면 목이 강한 사주이기에 목을 상생시키는 수와 목이 상생해주는 화를 보충하는 것이 좋습니다. 즉, 수와 목의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 1개, 화는 2개, 수는 1개, 토는 1개, 금은 1개를 가지고 있어 어떤 오행을 보충해야 돼?","오행을 고루 가지고 있는 사주지만 자세히 보면 화가 강한 사주이기에 따라서 화를 상생시키는 목과 화가 상생해주는 토를 보충하는 것이 좋습니다. 즉, 목와 토의 오행을 하나씩 보충하는 것이 좋습니다."
"오행을 목은 1개, 화는 1개, 수는 2개, 토는 1개, 금은 1개를 가지고 있어 어떤 오행을 보충해야 돼?","오행을 고루 가지고 있는 사주지만 자세히 보면 수가 강한 사주이기에 따라서 수를 상생시키는 금과 수가 상생해주는 목를 보충하는 것이 좋습니다. 즉, 금와 목의 오행을 하나씩 보충하는 것이 좋습니다."
